	count	timestamp	uniques
0	10	2018-06-28	2
0	24	2018-07-02	4
1	3	2018-07-03	1
2	10	2018-07-05	2
3	5	2018-07-06	1
4	6	2018-07-09	1
5	5	2018-07-10	3
6	3	2018-07-12	1
7	1	2018-07-13	1
8	15	2018-07-16	2
9	16	2018-07-17	3
10	5	2018-07-18	1
11	8	2018-07-19	1
12	12	2018-07-21	1
13	1	2018-07-24	1
