count	timestamp	uniques
24	2018-07-05	2
9	2018-07-06	5
1	2018-07-07	1
6	2018-07-08	1
1	2018-07-14	1
1	2018-07-15	1
9	2018-07-17	2
1	2018-07-19	1
1	2018-07-25	1
